userName,score,at,label_data,content
Witson Ferdinand,5,11/22/2022 6:48,positif,"Sangat bagus dan cepat,, semoga bisa membantu mempermudah transaksi"
Putra Kurniawan,3,11/22/2022 6:47,positif,"pelayanannya cukup bagus, semoga semakin meningkat"
Pandy syaputra Pandy,5,11/22/2022 6:42,positif,Sangat membantu dalam melakukan transfer🤔🤔🤔
Ai Nilam,5,11/22/2022 6:40,positif,sangat memudahkan kalau ingin bayar online
anisa haque,1,11/22/2022 6:40,negatif,"Tolong perbaiki, tadi lemot banget, jangan mengabaikan pesan dari pengguna sebagai saran"
Ariyanto,1,11/22/2022 6:39,negatif,"Aplikasi ini membingungkan perbaiki tolong, saya melakukan hal yang benar dan mau pakai gopay"
Mamas Maesaroh,5,11/22/2022 6:38,positif,"Dana aplikasi yang aman, cepat, dan mudah digunakan"
Muhamad Hamzah,5,11/22/2022 6:36,positif,"Sudah mantap hanya sedikit mahal biayanya, tapi pelayanannya oke"
Ulia Isnaini,5,11/22/2022 6:32,positif,"sangat puas, memudahkan dalam transaksi"
putu diah,2,11/22/2022 6:32,negatif,kenapa hari ini ongkir gofood lebih mahal dari biasanya?? Padahal pakai gopay biasanya gratis ongkir
Muhammad Al fatih,5,11/22/2022 6:30,positif,Aplikasinya sangat bermanfaat.. Ayo pakai linkaja dijamin aman
RISKA MAYLISA,3,11/22/2022 6:30,negatif,Sekarang belanja pakai shopeepay tetap mahal ke daerah saya
Lutfi Bekti Pratama,5,11/22/2022 6:28,positif,"Mudah, praktis, dan cepat dalam pengiriman"
ac sejuku,5,11/22/2022 6:27,positif,"cepat,mudah,praktis.... Tidak perlu waktu banyak untuk diproses"
apa sayang,5,11/22/2022 6:27,positif,"suka sekali sama shopeepay. mudah dan aman, gak ribet, tapi tingkatkan gratis ongkir"
Agus Jawo,5,11/22/2022 6:25,positif,"Proses mudah dan aman, cepat juga untuk transfer"
Pratama Gusmiati,5,11/22/2022 6:24,positif,Tingkatkan pelayanan shopeepay ya.. Kalau bisa gratis biaya layanan kalau bayar lewat shopeepay
Dudi Riadi,2,11/22/2022 6:21,positif,"Belum coba layanan shopeepay ini, karena kalau bayar seringnya lewat atm,, sepertinya aman belanja disini"
syakirah solehah,5,11/22/2022 6:20,positif,"Saya selalu pakai Ovo untuk transaksi online, sangat puas"
Aristo Fery,5,11/22/2022 6:20,positif,Oke shopeepay!! nyaman sekali digunakan oleh siswa seperti saya...
Permata Hati,5,11/22/2022 6:18,positif,Transaksi mudah dan bebas biaya administrasi
Budi Nugraha,5,11/22/2022 6:18,positif,"Mantap shopeepay,,.. semoga lebih keren kedepannya!!"
rista amelia,1,11/22/2022 6:18,negatif,"Kecewa sama aplikasi ini, semakin lemot mau buka shopeepay lama..."
Bachtiar Zulkifli,5,11/22/2022 6:17,positif,"Saya pengguna shopee pertama kali, dan selama berbelanja di sini saya cukup puas dengan pelayanan yang disediakan terutama fitur shopeepay"
Mervi Lasut,5,11/22/2022 6:17,positif,"bagus.. saya sering menggunakan shopeepay untuk bayar belanja,,, semakin meningkat pelayanannya!!"
Saeful Achmad,1,11/22/2022 6:17,negatif,Buruk sekali.... Saldo tidak masuk untuk pengaduan gagal masuk juga!!
Khairun Nisa,1,11/22/2022 6:17,negatif,"susah banget ya,, minta update tapi pas buka play store gak ada"
Rudi Rudi,1,11/22/2022 6:17,negatif,"Aplikasi apa ini kita daftar gak bisa, banyak gangguan.."
Hary Firmansyah,2,11/22/2022 6:17,negatif,"Harga barang mahal, susah dapat bonus padahal sering bayar di shopeepay"
Ayamgeybok Bangjarwo,5,11/22/2022 6:16,positif,"sesuai bintang,, memuaskan dalam transaksi"
Subur Budiyanto,3,11/22/2022 6:16,negatif,"banyak toko penipu, pengguna selalu rugi,, tingkatkan keamanan, agar shopeepay aman ya!!"
Muhammad Nadif Al Jufri,2,11/22/2022 6:16,negatif,"Lemotnya membuat emosi, mau buka shopeepay juga lama banget."
Mi Albadru,1,11/22/2022 6:15,negatif,"Dana kurang aman untuk simpan uang, saldo saya hilang sendiri"
Siva ruvi Anggara,1,11/22/2022 6:14,negatif,"Eror, gagal diperbarui tidak tampil produk,, buka shopeepay lama sekali.."
Ayu Rahmawati,5,11/22/2022 6:13,positif,"Keren bisa belanja tanpa keluar rumah, cukup bayar lewat shopeepay🤣"
Tuti Ariyani,5,11/22/2022 6:12,positif,"Sangat senang belanja di shopee pelayanan cepat, bisa pake shopeepay buat bayar"
Angga Jehaman,1,11/22/2022 6:12,negatif,"Aplikasi gak jelas, dua hari coba dan daftar gak pernah muncul SMS,, apk gak guna"
Revaldi Dwi Mahardhika,5,11/22/2022 6:11,positif,"sangat bagus aplikasinya,, puas pakai dana"
Syafinatun Nazariah,2,11/22/2022 6:09,negatif,Saya mengalami kendala ketika transfer informasinya gagal transfer karena alasan keamanan.
Jaya Bray,5,11/22/2022 6:06,positif,Sangat bermanfaat bagi saya yang perlu aplikasi untuk transaksi
Sapto Bae,2,11/22/2022 6:06,negatif,"Setelah update langsung keluar buka shopeepay,, mengapa aneh?"
echo wahyudi,5,11/22/2022 6:05,positif,sangat membantu untuk belanja online di toko
lupa kan,1,11/22/2022 6:05,negatif,Pelayanan yang lambat... Pengaduan tidak pernah direspon.
faramida 04,5,11/22/2022 6:04,positif,Kenapa saya tidak bisa mengunduh shopee??? Padahal mau pakai fitur shopeepay hmm�
Elda Nurazizah,3,11/22/2022 6:04,negatif,"Shopee semakin mahal, kalau bayar paka shopeepay tetap ada biaya layanan"
Mayang Sunda,1,11/22/2022 6:04,negatif,"Semakin lemot saja, sudah seminggu tidak bisa cari produk, shopeepay terganggu"
Inggit Ismayanti,5,11/22/2022 6:03,positif,sangat membantu sekali dalam melakukan pembayaran
Mbet Ahk,1,11/22/2022 6:03,negatif,"Aplikasinya buruk,, sudah diperbarui tetap gak bisa dibuka kesal"
jhoni Winarto,1,11/22/2022 6:03,negatif,Iklannya download aplikasi dapat saldo ovo 5 rb mana .bohong aja
Zaroh Tul hayati,3,11/22/2022 6:02,negatif,"sedih sekarang sedikit gratis ongkir,, dulu ada apalagi bayar di shopeepay"
Jo Van,1,11/22/2022 6:01,negatif,Sering gangguan gak bisa kirim uang sistem sedang sibuk
Pitut22,1,11/22/2022 5:58,negatif,"Kecewa banget, tarik dana dari tanggal 15, status berhasil tapi di agen notif belum masuk, kecewa"
Tomi Imam Raharjo,5,11/22/2022 5:57,positif,Saya transfer pulsa ke nomor berbeda cepat masuknya dan untuk isi saldo juga mudah�
Anou Studio,5,11/22/2022 5:56,positif,"Sangat membantu saya dalam membayar token listrik, karena pakai shopeepay yang ada di shopee"
Muhamad Rosul,5,11/22/2022 5:54,positif,"bagus pakai shopeepay, banyak bonusnya, terima kasih"
Firman Business,2,11/22/2022 5:54,negatif,"Pusing.. Mau premium gak bisa alasanya ktp, padahal ktp saya sudah benar"
Eko Stya,1,11/22/2022 5:54,negatif,"Tolong perbaiki.. sudah 4 hari saldo saya hilang,, dan gak ada respon..."
Syah Amziansyah,1,11/22/2022 5:54,negatif,"sekarang mahal padalah bayar di shopeepay,, pengiriman juga lama"
Arfakh mohammed,1,11/22/2022 5:54,negatif,"Aplikasi mengecewakan, buka shopeepay selalu lemot gambar gak muncul."
putri aulia,1,11/22/2022 5:53,negatif,"Pelayanan lama merespon keluhan saya, kecewa"
Roki Hermawan,1,11/22/2022 5:53,negatif,"Aplikasi tidak jelas, pemotongan saldo tanpa konfirmasi ke pengguna. Saya minta saldo saya kembali"
Jeon Jungkook,1,11/22/2022 5:52,negatif,"Shopee sekarang semua mahal, bayar juga pakai biaya layanan di shopeepay"
